,Recent_price
A,152.1649932861328
AAL,20.485000610351562
AAP,208.5
AAPL,140.23500061035156
ABBV,108.72000122070312
ABC,115.9000015258789
ABMD,330.4700012207031
ABT,114.50499725341797
ACN,322.4700012207031
ADBE,566.72998046875
ADI,165.0500030517578
ADM,61.5099983215332
ADP,203.0399932861328
ADSK,275.739990234375
AEE,81.33000183105469
AEP,83.12000274658203
AES,23.030000686645508
AFL,52.630001068115234
AIG,56.525001525878906
AIZ,157.39999389648438
AJG,150.42999267578125
AKAM,103.0199966430664
ALB,217.6999969482422
ALGN,640.9949951171875
ALK,60.040000915527344
ALL,126.2750015258789
ALLE,127.43499755859375
AMAT,127.0
AMCR,11.614999771118164
AMD,102.45500183105469
AME,123.08000183105469
AMGN,210.36000061035156
AMP,268.7799987792969
AMT,262.2900085449219
AMZN,3242.68994140625
ANET,348.3500061035156
ANSS,337.5299987792969
ANTM,368.5
AON,288.6449890136719
AOS,63.119998931884766
APA,22.225000381469727
APD,252.74000549316406
APH,73.55999755859375
APTV,154.97999572753906
ARE,190.64999389648438
ATO,88.51899719238281
ATVI,77.55000305175781
AVB,220.7449951171875
AVGO,482.82000732421875
AVY,207.11500549316406
AWK,170.86700439453125
AXP,171.30999755859375
AZO,1673.6800537109375
BA,222.2303924560547
BAC,43.852500915527344
BAX,80.0199966430664
BBWI,61.75
BBY,105.5999984741211
BDX,242.16000366210938
BEN,29.9950008392334
BF-B,66.52999877929688
BIIB,282.260009765625
BIO,716.3200073242188
BK,54.130001068115234
BKNG,2422.1298828125
BKR,24.469999313354492
BLK,827.1599731445312
BLL,91.52999877929688
BMY,58.845001220703125
BR,163.8800048828125
BRK-B,276.5436096191406
BRO,57.939998626708984
BSX,42.04499816894531
BWA,43.29499816894531
BXP,109.88999938964844
C,71.59989929199219
CAG,33.97999954223633
CAH,48.189998626708984
CARR,51.880001068115234
CAT,190.00999450683594
CB,173.42999267578125
CBOE,122.5199966430664
CBRE,96.80999755859375
CCI,171.08999633789062
CCL,24.7450008392334
CDAY,114.79499816894531
CDNS,148.51499938964844
CDW,174.66000366210938
CE,155.72000122070312
CERN,69.5250015258789
CF,58.810001373291016
CFG,48.11000061035156
CHD,81.9749984741211
CHRW,88.22000122070312
CHTR,738.9227905273438
CI,199.9499969482422
CINF,114.26000213623047
CL,74.36499786376953
CLX,163.4149932861328
CMA,82.7699966430664
CMCSA,56.23500061035156
CME,197.74000549316406
CMG,1825.425048828125
CMI,229.60000610351562
CMS,60.130001068115234
CNC,62.189998626708984
CNP,25.165000915527344
COF,166.6999969482422
COO,406.7900085449219
COP,71.5199966430664
COST,444.70001220703125
CPB,41.91999816894531
CPRT,135.5
CRL,403.0
CRM,272.8999938964844
CSCO,53.29499816894531
CSX,31.7549991607666
CTAS,391.1199951171875
CTLT,128.42999267578125
CTRA,22.288999557495117
CTSH,73.30000305175781
CTVA,41.875
CTXS,105.33000183105469
CVS,82.54389953613281
CVX,104.47000122070312
CZR,115.37999725341797
D,72.79000091552734
DAL,43.73500061035156
DD,69.22000122070312
DE,332.3599853515625
DFS,125.44000244140625
DG,205.5800018310547
DGX,140.35000610351562
DHI,83.06999969482422
DHR,296.1700134277344
DIS,173.7100067138672
DISCA,25.450000762939453
DISCK,24.614999771118164
DISH,44.54999923706055
DLR,142.08999633789062
DLTR,96.86599731445312
DOV,155.7949981689453
DOW,56.619998931884766
DPZ,474.1400146484375
DRE,48.93000030517578
DRI,155.9149932861328
DTE,112.88999938964844
DUK,99.88999938964844
DVA,112.93499755859375
DVN,39.03499984741211
DXC,33.92539978027344
DXCM,535.9749755859375
EA,135.64500427246094
EBAY,70.91000366210938
ECL,213.0399932861328
ED,73.11000061035156
EFX,253.27000427246094
EIX,55.400001525878906
EL,311.69000244140625
EMN,102.16000366210938
EMR,94.2699966430664
ENPH,154.4499969482422
EOG,85.95999908447266
EQIX,754.1699829101562
EQR,81.43000030517578
ES,84.52999877929688
ESS,320.1499938964844
ETN,148.91000366210938
ETR,100.91000366210938
ETSY,207.86000061035156
EVRG,62.459999084472656
EW,108.04000091552734
EXC,48.040000915527344
EXPD,114.55999755859375
EXPE,170.4499969482422
EXR,166.17999267578125
F,14.03499984741211
FANG,103.68000030517578
FAST,50.869998931884766
FB,332.45001220703125
FBHS,92.7699966430664
FCX,31.424999237060547
FDX,220.97999572753906
FE,35.9364013671875
FFIV,194.77499389648438
FIS,119.49500274658203
FISV,107.01000213623047
FITB,43.279998779296875
FLT,256.7850036621094
FMC,89.06999969482422
FOX,38.279998779296875
FOXA,41.564998626708984
FRC,198.72000122070312
FRT,118.56999969482422
FTNT,301.1700134277344
FTV,69.67500305175781
GD,196.3300018310547
GE,103.0999984741211
GILD,67.16000366210938
GIS,61.41999816894531
GL,91.06999969482422
GLW,36.176700592041016
GM,53.79999923706055
GNRC,403.4700012207031
GOOG,2736.859130859375
GOOGL,2734.35498046875
GPC,121.57109832763672
GPN,156.97999572753906
GPS,23.104999542236328
GRMN,155.27720642089844
GS,382.80999755859375
GWW,401.6600036621094
HAL,23.0
HAS,86.9000015258789
