,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
0,A,intangibleAssets,1032000000.0,1005000000.0,787000000.0,831000000.0
1,A,capitalSurplus,5307000000.0,5271000000.0,5266000000.0,5311000000.0
2,A,totalLiab,5545000000.0,5588000000.0,4870000000.0,4754000000.0
3,A,totalStockholderEquity,4946000000.0,4810000000.0,4804000000.0,4873000000.0
4,A,otherCurrentLiab,542000000.0,526000000.0,467000000.0,496000000.0
5,A,totalAssets,10491000000.0,10398000000.0,9674000000.0,9627000000.0
6,A,commonStock,3000000.0,3000000.0,3000000.0,3000000.0
7,A,otherCurrentAssets,264000000.0,268000000.0,312000000.0,127000000.0
8,A,retainedEarnings,90000000.0,-12000000.0,4000000.0,81000000.0
9,A,otherLiab,907000000.0,912000000.0,822000000.0,876000000.0
10,A,goodWill,3976000000.0,4054000000.0,3618000000.0,3602000000.0
11,A,treasuryStock,-454000000.0,-452000000.0,-469000000.0,-522000000.0
12,A,otherAssets,560000000.0,567000000.0,579000000.0,601000000.0
13,A,cash,1428000000.0,1380000000.0,1329000000.0,1441000000.0
14,A,totalCurrentLiabilities,1724000000.0,1758000000.0,1687000000.0,1467000000.0
15,A,otherStockholderEquity,-454000000.0,-452000000.0,-469000000.0,-522000000.0
16,A,propertyPlantEquipment,1087000000.0,1070000000.0,1042000000.0,1020000000.0
17,A,totalCurrentAssets,3632000000.0,3514000000.0,3483000000.0,3415000000.0
18,A,longTermInvestments,204000000.0,188000000.0,165000000.0,158000000.0
19,A,netTangibleAssets,-62000000.0,-249000000.0,399000000.0,440000000.0
20,A,netReceivables,1122000000.0,1075000000.0,1087000000.0,1127000000.0
21,A,longTermDebt,2728000000.0,2727000000.0,2185000000.0,2284000000.0
22,A,inventory,818000000.0,791000000.0,755000000.0,720000000.0
23,A,accountsPayable,416000000.0,423000000.0,398000000.0,354000000.0
24,A,deferredLongTermAssetCharges,,,,380000000.0
25,AAL,intangibleAssets,2008000000.0,2019000000.0,2029000000.0,2039000000.0
26,AAL,capitalSurplus,7200000000.0,6980000000.0,6894000000.0,5430000000.0
27,AAL,totalLiab,80131000000.0,76594000000.0,68875000000.0,68301000000.0
28,AAL,totalStockholderEquity,-7667000000.0,-7945000000.0,-6867000000.0,-5528000000.0
29,AAL,otherCurrentLiab,9727000000.0,7921000000.0,6790000000.0,6954000000.0
30,AAL,totalAssets,72464000000.0,68649000000.0,62008000000.0,62773000000.0
31,AAL,commonStock,6000000.0,6000000.0,6000000.0,5000000.0
32,AAL,otherCurrentAssets,999000000.0,806000000.0,609000000.0,508000000.0
33,AAL,retainedEarnings,-7876000000.0,-7895000000.0,-6664000000.0,-4487000000.0
34,AAL,otherLiab,14698000000.0,15276000000.0,15733000000.0,14958000000.0
35,AAL,goodWill,4091000000.0,4091000000.0,4091000000.0,4091000000.0
36,AAL,treasuryStock,-6997000000.0,-7036000000.0,-7103000000.0,-6476000000.0
37,AAL,otherAssets,6101000000.0,6488000000.0,6340000000.0,5821000000.0
38,AAL,cash,325000000.0,277000000.0,245000000.0,253000000.0
39,AAL,totalCurrentLiabilities,21521000000.0,17333000000.0,16569000000.0,16584000000.0
40,AAL,deferredLongTermAssetCharges,3631000000.0,3632000000.0,3239000000.0,2425000000.0
41,AAL,shortLongTermDebt,2692000000.0,2339000000.0,2697000000.0,2610000000.0
42,AAL,otherStockholderEquity,-6997000000.0,-7036000000.0,-7103000000.0,-6476000000.0
43,AAL,propertyPlantEquipment,37449000000.0,37761000000.0,38292000000.0,38336000000.0
44,AAL,totalCurrentAssets,22647000000.0,18089000000.0,11095000000.0,12340000000.0
45,AAL,longTermInvestments,168000000.0,201000000.0,161000000.0,146000000.0
46,AAL,netTangibleAssets,-13766000000.0,-14055000000.0,-12987000000.0,-11658000000.0
47,AAL,shortTermInvestments,17625000000.0,13762000000.0,6619000000.0,8031000000.0
