,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
0,A,investments,-7000000.0,-7000000.0,-1000000.0,-1000000.0
1,A,changeToLiabilities,-5000000.0,8000000.0,43000000.0,37000000.0
2,A,totalCashflowsFromInvestingActivities,-61000000.0,-587000000.0,-42000000.0,-27000000.0
3,A,netBorrowings,-75000000.0,427000000.0,134000000.0,35000000.0
4,A,totalCashFromFinancingActivities,-222000000.0,166000000.0,-316000000.0,-269000000.0
5,A,changeToOperatingActivities,48000000.0,163000000.0,-185000000.0,72000000.0
6,A,issuanceOfStock,26000000.0,1000000.0,25000000.0,4000000.0
7,A,netIncome,264000000.0,216000000.0,288000000.0,222000000.0
8,A,changeInCash,48000000.0,51000000.0,-111000000.0,83000000.0
9,A,repurchaseOfStock,-114000000.0,-196000000.0,-416000000.0,-253000000.0
10,A,effectOfExchangeRate,-3000000.0,-3000000.0,9000000.0,2000000.0
11,A,totalCashFromOperatingActivities,334000000.0,472000000.0,238000000.0,377000000.0
12,A,depreciation,84000000.0,77000000.0,76000000.0,76000000.0
13,A,dividendsPaid,-59000000.0,-59000000.0,-59000000.0,-55000000.0
14,A,changeToInventory,-35000000.0,-45000000.0,-35000000.0,18000000.0
15,A,changeToAccountReceivables,-52000000.0,14000000.0,-31000000.0,-108000000.0
16,A,changeToNetincome,30000000.0,39000000.0,82000000.0,60000000.0
17,A,capitalExpenditures,-54000000.0,-31000000.0,-41000000.0,-27000000.0
18,A,otherCashflowsFromInvestingActivities,,-2000000.0,-2000000.0,-2000000.0
19,A,otherCashflowsFromFinancingActivities,,-7000000.0,-7000000.0,-7000000.0
20,AAL,investments,-3861000000.0,-7142000000.0,1454000000.0,1322000000.0
21,AAL,changeToLiabilities,0.0,0.0,-97000000.0,0.0
22,AAL,totalCashflowsFromInvestingActivities,-3884000000.0,-7152000000.0,1696000000.0,923000000.0
23,AAL,netBorrowings,249000000.0,6807000000.0,-301000000.0,1559000000.0
24,AAL,totalCashFromFinancingActivities,445000000.0,7013000000.0,1269000000.0,1511000000.0
25,AAL,issuanceOfStock,144000000.0,316000000.0,1443000000.0,1443000000.0
26,AAL,netIncome,19000000.0,-1250000000.0,-2178000000.0,-2399000000.0
27,AAL,changeInCash,31000000.0,35000000.0,102000000.0,-170000000.0
