,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
0,A,researchDevelopment,113000000,109000000,103000000,102000000
1,A,effectOfAccountingCharges,,,,
2,A,incomeBeforeTax,327000000,273000000,312000000,283000000
3,A,minorityInterest,,,,
4,A,netIncome,264000000,216000000,288000000,222000000
5,A,sellingGeneralAdministrative,390000000,420000000,398000000,342000000
6,A,grossProfit,852000000,817000000,838000000,788000000
7,A,ebit,349000000,288000000,337000000,344000000
8,A,operatingIncome,349000000,288000000,337000000,344000000
9,A,otherOperatingExpenses,,,,
10,A,interestExpense,-21000000,-20000000,-19000000,-19000000
11,A,extraordinaryItems,,,,
12,A,nonRecurring,,,,
13,A,otherItems,,,,
14,A,incomeTaxExpense,63000000,57000000,24000000,61000000
15,A,totalRevenue,1586000000,1525000000,1548000000,1483000000
16,A,totalOperatingExpenses,1237000000,1237000000,1211000000,1139000000
17,A,costOfRevenue,734000000,708000000,710000000,695000000
18,A,totalOtherIncomeExpenseNet,-22000000,-15000000,-25000000,-61000000
19,A,discontinuedOperations,,,,
20,A,netIncomeFromContinuingOps,264000000,216000000,288000000,222000000
21,A,netIncomeApplicableToCommonShares,264000000,216000000,288000000,222000000
22,AAL,researchDevelopment,,,,
23,AAL,effectOfAccountingCharges,,,,
24,AAL,incomeBeforeTax,9000000,-1573000000,-2809000000,-3095000000
25,AAL,minorityInterest,,,,
26,AAL,netIncome,19000000,-1250000000,-2178000000,-2399000000
27,AAL,sellingGeneralAdministrative,277000000,151000000,95000000,70000000
28,AAL,grossProfit,787000000,-1806000000,-923000000,-2489000000
29,AAL,ebit,-929000000,-3151000000,-2066000000,-3716000000
30,AAL,operatingIncome,-929000000,-3151000000,-2066000000,-3716000000
31,AAL,otherOperatingExpenses,958000000,716000000,565000000,659000000
32,AAL,interestExpense,-486000000,-371000000,-376000000,-340000000
33,AAL,extraordinaryItems,,,,
34,AAL,nonRecurring,,,,
35,AAL,otherItems,,,,
36,AAL,incomeTaxExpense,-10000000,-323000000,-631000000,-696000000
37,AAL,totalRevenue,7478000000,4008000000,4028000000,3173000000
38,AAL,totalOperatingExpenses,8407000000,7159000000,6094000000,6889000000
39,AAL,costOfRevenue,6691000000,5814000000,4951000000,5662000000
40,AAL,totalOtherIncomeExpenseNet,938000000,1578000000,-743000000,621000000
41,AAL,discontinuedOperations,,,,
42,AAL,netIncomeFromContinuingOps,19000000,-1250000000,-2178000000,-2399000000
43,AAL,netIncomeApplicableToCommonShares,19000000,-1250000000,-2178000000,-2399000000
44,AAP,researchDevelopment,,,,
45,AAP,effectOfAccountingCharges,,,,
46,AAP,incomeBeforeTax,237765000,237765000,245774000,245774000
47,AAP,minorityInterest,,,,
48,AAP,netIncome,178696000,178696000,185930000,182313000
