,Ticker,Attribute,Recent
0,A,Market Cap (intraday) 5,46.14B
1,A,Enterprise Value 3,47.94B
2,A,Trailing P/E,47.51
3,A,Forward P/E 1,37.09
4,A,PEG Ratio (5 yr expected) 1,4.07
5,A,Price/Sales (ttm),7.51
6,A,Price/Book (mrq),9.33
7,A,Enterprise Value/Revenue 3,7.81
8,A,Enterprise Value/EBITDA 7,29.04
9,AAL,Market Cap (intraday) 5,13.31B
10,AAL,Enterprise Value 3,44.25B
11,AAL,Trailing P/E,
12,AAL,Forward P/E 1,35.44
13,AAL,PEG Ratio (5 yr expected) 1,0.02
14,AAL,Price/Sales (ttm),0.71
15,AAL,Price/Book (mrq),
16,AAL,Enterprise Value/Revenue 3,2.37
17,AAL,Enterprise Value/EBITDA 7,-5.78
18,AAP,Market Cap (intraday) 5,13.14B
19,AAP,Enterprise Value 3,15.83B
20,AAP,Trailing P/E,22.47
21,AAP,Forward P/E 1,16.36
22,AAP,PEG Ratio (5 yr expected) 1,1.24
23,AAP,Price/Sales (ttm),1.21
24,AAP,Price/Book (mrq),3.98
25,AAP,Enterprise Value/Revenue 3,1.45
26,AAP,Enterprise Value/EBITDA 7,12.93
27,AAPL,Market Cap (intraday) 5,2.32T
28,AAPL,Enterprise Value 3,2.41T
29,AAPL,Trailing P/E,27.47
30,AAPL,Forward P/E 1,24.71
31,AAPL,PEG Ratio (5 yr expected) 1,1.38
32,AAPL,Price/Sales (ttm),6.68
33,AAPL,Price/Book (mrq),36.15
34,AAPL,Enterprise Value/Revenue 3,6.93
35,AAPL,Enterprise Value/EBITDA 7,21.69
36,ABBV,Market Cap (intraday) 5,192.4B
37,ABBV,Enterprise Value 3,267.1B
38,ABBV,Trailing P/E,29.36
39,ABBV,Forward P/E 1,7.80
40,ABBV,PEG Ratio (5 yr expected) 1,1.90
41,ABBV,Price/Sales (ttm),3.58
42,ABBV,Price/Book (mrq),15.31
43,ABBV,Enterprise Value/Revenue 3,4.97
44,ABBV,Enterprise Value/EBITDA 7,9.65
45,ABC,Market Cap (intraday) 5,24.05B
46,ABC,Enterprise Value 3,30.85B
47,ABC,Trailing P/E,
48,ABC,Forward P/E 1,10.96
49,ABC,PEG Ratio (5 yr expected) 1,1.10
50,ABC,Price/Sales (ttm),0.12
51,ABC,Price/Book (mrq),632.54
52,ABC,Enterprise Value/Revenue 3,0.15
53,ABC,Enterprise Value/EBITDA 7,9.76
54,ABMD,Market Cap (intraday) 5,15.03B
55,ABMD,Enterprise Value 3,14.57B
56,ABMD,Trailing P/E,97.91
57,ABMD,Forward P/E 1,62.01
58,ABMD,PEG Ratio (5 yr expected) 1,8.42
59,ABMD,Price/Sales (ttm),16.07
60,ABMD,Price/Book (mrq),11.49
61,ABMD,Enterprise Value/Revenue 3,15.58
62,ABMD,Enterprise Value/EBITDA 7,50.27
63,ABT,Market Cap (intraday) 5,203.29B
64,ABT,Enterprise Value 3,215.22B
65,ABT,Trailing P/E,32.30
66,ABT,Forward P/E 1,24.61
67,ABT,PEG Ratio (5 yr expected) 1,2.31
68,ABT,Price/Sales (ttm),5.05
69,ABT,Price/Book (mrq),6.01
70,ABT,Enterprise Value/Revenue 3,5.35
71,ABT,Enterprise Value/EBITDA 7,18.47
72,ACN,Market Cap (intraday) 5,204.26B
73,ACN,Enterprise Value 3,201.7B
74,ACN,Trailing P/E,35.27
75,ACN,Forward P/E 1,33.29
76,ACN,PEG Ratio (5 yr expected) 1,3.17
77,ACN,Price/Sales (ttm),4.04
78,ACN,Price/Book (mrq),10.47
79,ACN,Enterprise Value/Revenue 3,3.99
80,ACN,Enterprise Value/EBITDA 7,21.20
81,ADBE,Market Cap (intraday) 5,270.16B
82,ADBE,Enterprise Value 3,268.16B
83,ADBE,Trailing P/E,46.94
84,ADBE,Forward P/E 1,39.87
85,ADBE,PEG Ratio (5 yr expected) 1,2.96
86,ADBE,Price/Sales (ttm),17.89
87,ADBE,Price/Book (mrq),18.75
88,ADBE,Enterprise Value/Revenue 3,17.76
89,ADBE,Enterprise Value/EBITDA 7,43.94
90,ADI,Market Cap (intraday) 5,88.75B
91,ADI,Enterprise Value 3,64.74B
92,ADI,Trailing P/E,36.14
93,ADI,Forward P/E 1,22.62
94,ADI,PEG Ratio (5 yr expected) 1,1.47
95,ADI,Price/Sales (ttm),13.64
96,ADI,Price/Book (mrq),4.96
97,ADI,Enterprise Value/Revenue 3,9.95
98,ADI,Enterprise Value/EBITDA 7,22.11
99,ADM,Market Cap (intraday) 5,34.43B
