fold, min_error,min_error_model,Multiple Linear Regression,PCA Multiple Linear Regression,Lasso Regression,Random Forest Regressor,PCA Random Forest Regressor
0,0.06068838187052539,Random Forest Regressor,-0.6223579195391982,-1.9341546557137823,0.015952280622963944,0.06068838187052539,-0.09028597612488909
1,0.9753323317468076,PCA Random Forest Regressor,-152.21509658215177,-1.2999647114122537,-8.14091497759322,0.8510740325694928,0.9753323317468076
2,0.8777459269833348,Random Forest Regressor,-1.8828475808872516,0.6038230037399261,0.4497546469978466,0.8777459269833348,0.5044430362767631
3,0.6785969458826738,Lasso Regression,-1.0485944468942354,0.6011618425283038,0.6785969458826738,0.6247275778712577,-0.13213937241268336
4,0.35536823234210657,Random Forest Regressor,-0.8456391401284689,0.01592174591499873,0.09597784506959539,0.35536823234210657,-0.08595372653218458
5,0.42530795205551974,Multiple Linear Regression,0.42530795205551974,0.2555455570959998,-0.043629684538211144,0.2889622986875152,-0.09964791632255476
6,0.8964025348851583,PCA Multiple Linear Regression,0.8398825604033939,0.8964025348851583,0.8595255706340627,0.7172731100900012,0.8359781232161039
7,0.6769142635417819,Random Forest Regressor,-373.96418672826263,-94.13875636607817,-455.1562955271597,0.6769142635417819,-1.5808460529682336
8,0.3473770349769999,PCA Random Forest Regressor,-0.7614534412082299,0.09593006773722723,-0.6884616645436918,0.10272258793564737,0.3473770349769999
9,0.24482056972096156,PCA Multiple Linear Regression,-2.1471127947649014,0.24482056972096156,0.07843935888111064,0.20606686149098863,0.026807275397242147
10,-0.3305917682640682,PCA Random Forest Regressor,-6.649852277736508,-1.379726750833238,-7.145727559153608,-0.39042676594898773,-0.3305917682640682
11,0.8527414532172946,Random Forest Regressor,0.8188016277446045,0.7439868323802119,0.7918923726067365,0.8527414532172946,0.34054822487341485
12,0.18903135106846924,Random Forest Regressor,-0.27853919195455523,0.038206761043260484,-0.18245094454952682,0.18903135106846924,0.1805622914589563
13,0.18140992841659487,Random Forest Regressor,-0.7420903296199519,-1.7828601302807976,-1.4652434170045758,0.18140992841659487,-0.08152176964298885
14,0.8660303063408987,PCA Multiple Linear Regression,0.5540197861806566,0.8660303063408987,0.8529975173759626,0.7368752524929159,0.5708297929130894
15,0.7273370196459403,Random Forest Regressor,0.31014936254044334,0.14699266504778608,0.5645447810052685,0.7273370196459403,0.508346604847467
16,0.9769733713422849,Random Forest Regressor,0.9539033705052715,0.9478431215474489,0.9553878227693062,0.9769733713422849,0.9728135514373418
17,0.8898348450418421,PCA Multiple Linear Regression,0.751710398939644,0.8898348450418421,0.7003971476036999,0.7037660088801465,0.6596373355003736
18,0.9000964668368341,PCA Multiple Linear Regression,0.4457323641145967,0.9000964668368341,0.5960741870629462,0.8910475830143076,0.7816577387694006
19,0.4037883450275904,PCA Random Forest Regressor,-1.6234919367397893,-0.17880836024677893,-0.2615067717632622,-0.09277923712583225,0.4037883450275904
